Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight,Weight
1.0,9,20,13,11,24,24,25,18,15,17,26,47,31.5
1.0,8,21,13,11,23,26,25,18,16,17,26,46,29.8
1.0,8,18,11,9,20,12,24,17,15,16,23,44,25.1
2.0,10,20,14,10,26,26,28,18,16,16,28,48,34.0
2.0,8,22,12,9,20,23,23,18,13,17,23,44,25.0
2.0,10,24,13,10,25,27,26,20,16,15,26,47,32.0
2.0,8,21,11,10,22,23,26,17,15,15,27,48,31.7
2.0,13,22,14,14,24,27,28,23,22,19,33,54,43.2
2.0,11,20,13,11,22,23,23,27,23,16,17,52,37.3
2.0,13,22,14,14,24,27,28,23,22,19,32,54,43.8
2.0,11,21,13,12,23,25,26,17,17,19,29,51,37.3
1.0,4,19,10,10,20,20,20,13,13,10,22,38,19.1
1.0,11,21,14,12,22,24,25,18,17,28,28,45,28.5
2.0,12,21,15,12,24,26,28,18,17,15,28,44,28.5
2.0,4,20,10,10,20,20,20,13,13,10,22,38,19.0
1.0,11,20,13,11,22,23,23,27,22,16,17,52,37.6
2.0,8,20,14,12,24,26,11,17,16,16,26,48,33.4
1.0,15,22,14,14,27,28,23,22,19,23,13,54,46.0
1.0,8,22,9,10,18,21,22,14,11,23,24,39,19.2
2.0,10,24,13,10,25,27,26,20,16,15,26,47,31.9
2.0,10,20,14,11,21,23,11,17,19,15,25,46,28.8
2.0,7,20,13,10,20,25,24,16,23,18,21,44,25.4
1.0,11,20,12,13,24,25,27,24,16,18,31,43,27.3
2.0,9,20,10,13,22,10,12,23,15,13,26,45,28.8
1.0,6,19,9,11,20,11,13,18,12,12,22,41,22.6
1.0,6,21,10,12,22,9,12,19,13,12,23,43,26.0
1.0,7,16,10,11,20,10,14,20,11,13,25,43,24.6
2.0,7,19,10,13,21,11,11,16,13,13,23,43,25.8
1.0,9,20,10,12,19,9,11,19,13,13,25,45,26.8
2.0,8,20,10,13,19,10,14,19,11,12,25,42,24.0
1.0,10,20,12,17,23,11,14,23,14,15,29,51,39.9
1.0,9,21,10,12,21,12,13,21,13,14,26,46,29.2
2.0,9,20,11,12,20,10,14,21,11,14,28,48,31.4
1.0,12,20,12,12,21,12,13,24,13,15,28,49,33.3
1.0,9,20,10,13,21,12,13,20,12,13,24,44,27.3
1.0,7,21,11,13,22,12,11,21,12,12,24,44,27.6
1.0,8,20,10,12,19,10,11,18,13,12,24,43,24.4
1.0,5,20,9,12,19,10,12,18,12,19,20,39,20.1
1.0,5,19,9,11,20,11,10,17,12,11,22,39,20.3
2.0,12,18,8,10,17,6,9,12,9,10,20,35,15.0
2.0,8,20,9,11,21,11,14,20,12,13,24,44,26.4
1.0,10,20,12,17,23,11,17,23,14,15,29,42,27.0
1.0,5,19,8,11,20,11,15,12,1,22,24,45,26.9
2.0,10,20,11,15,21,12,13,22,13,15,28,48,33.0
2.0,12,20,10,14,21,12,25,22,14,14,27,47,31.4
2.0,13,20,11,16,21,14,14,22,14,15,30,52,39.6
2.0,12,19,10,14,21,11,14,17,13,14,27,46,29.9
2.0,9,21,11,12,21,12,11,22,13,14,26,46,29.1
2.0,6,19,10,12,20,10,10,21,12,11,22,38,19.5
1.0,3,19,8,11,19,7,13,18,10,9,18,32,13.5
2.0,13,20,12,14,23,13,15,16,13,16,30,51,38.2
2.0,13,20,14,15,24,12,15,25,13,17,31,51,39.6
2.0,18,20,14,13,24,26,11,17,16,16,26,48,34.0
1.0,11,20,14,13,23,23,13,17,19,17,26,33,15.8
1.0,9,20,13,11,21,22,11,17,16,15,25,46,29.2
2.0,10,24,12,13,23,24,24,22,19,17,30,49,34.8
2.0,10,20,14,11,21,23,11,17,22,15,25,46,29.0
2.0,13,22,14,14,24,27,28,23,18,19,33,54,43.8
1.0,10,24,12,13,23,24,24,22,23,17,30,49,35.1
2.0,7,20,13,10,20,25,24,16,17,18,21,44,25.4
2.0,11,21,13,12,23,25,26,17,16,19,29,51,37.0
2.0,18,20,14,13,24,26,11,17,16,16,26,48,33.8
2.0,9,13,13,11,21,22,11,17,13,15,25,46,29.0
2.0,4,20,10,10,20,20,20,13,20,10,22,38,19.0
2.0,10,20,14,11,21,23,27,26,16,16,15,48,31.0
1.0,11,20,13,22,23,23,27,23,19,15,22,38,23.3
2.0,10,20,14,11,21,25,11,17,17,15,25,46,28.8
2.0,11,21,13,12,23,25,26,17,23,19,29,51,37.4
2.0,7,20,13,10,20,18,24,16,14,18,21,44,25.5
1.0,6,22,9,10,10,23,21,22,19,11,23,39,16.1
1.0,10,20,14,11,21,18,11,17,13,15,25,46,28.9
1.0,8,19,19,10,20,24,20,13,16,16,22,38,19.2
2.0,10,24,12,13,23,27,22,18,22,17,20,49,34.7
2.0,13,22,14,14,24,25,28,23,14,19,33,54,43.3
1.0,8,20,11,10,21,21,25,17,19,16,29,26,9.0
1.0,8,21,12,11,21,22,24,17,16,18,26,47,30.1
2.0,9,20,13,11,21,12,11,17,15,15,25,46,28.8
1.0,8,18,11,11,20,27,24,17,22,16,23,44,26.0
2.0,13,22,14,19,24,25,28,23,16,19,33,54,46.5
1.0,11,20,12,14,24,23,27,24,16,18,31,53,42.2
2.0,11,20,13,13,22,23,27,23,16,17,32,52,38.5
2.0,8,18,14,11,20,23,23,13,21,25,23,49,32.0
2.0,11,20,14,12,22,24,24,10,20,24,23,38,20.3
2.0,10,21,13,13,21,22,24,22,19,15,25,46,29.5
2.0,8,21,19,12,21,21,23,13,21,25,23,49,33.3
2.0,8,21,11,15,20,23,26,17,15,15,27,48,32.7
2.0,4,19,10,10,20,20,20,13,13,10,22,38,19.0
2.0,9,20,13,11,24,24,25,18,15,17,26,47,32.0
1.0,4,19,10,10,20,20,20,13,13,10,22,38,18.8
1.0,11,20,12,13,24,25,27,16,18,10,31,53,41.4
1.0,2,20,13,10,20,25,24,16,23,18,21,44,25.5
2.0,10,24,13,10,25,27,26,20,16,15,26,47,32.0
1.0,11,21,13,12,23,20,25,13,19,25,23,38,20.7
1.0,13,20,19,15,22,20,26,18,15,10,25,49,35.4
1.0,9,18,14,11,20,23,22,13,19,25,23,46,28.2
2.0,10,20,11,15,20,23,27,22,19,15,27,47,30.9
2.0,13,21,10,11,24,21,23,13,15,10,28,54,41.9
2.0,12,21,15,12,27,22,24,14,16,11,27,56,48.3
1.0,9,20,13,11,21,22,11,17,16,15,25,46,28.8
1.0,11,19,10,11,24,25,20,17,18,10,22,38,20.8
2.0,9,20,13,11,20,23,12,18,17,15,26,38,19.2
1.0,8,20,12,10,24,24,11,13,13,11,22,47,31.6
2.0,6,22,9,10,10,18,21,22,14,10,23,29,8.9
1.0,11,21,13,12,20,16,20,16,19,15,27,29,11.4
,9,20,13,11,21,24,11,22,14,15,25,44,26.4
2.0,12,21,15,12,24,26,28,18,17,24,28,47,32.0
2.0,11,21,13,13,21,22,15,21,25,25,27,54,41.0
1.0,8,22,9,10,18,21,22,19,26,15,27,44,24.5
2.0,7,20,13,10,20,25,24,16,23,16,21,44,25.6
1.0,8,18,11,9,20,12,24,17,15,16,23,44,25.1
1.0,6,21,6,19,19,23,23,20,14,17,20,37,20.1
1.0,5,21,5,9,18,21,21,19,12,13,23,41,21.0
2.0,4,20,11,11,22,22,22,16,12,12,22,39,21.1
2.0,5,20,12,10,20,21,23,18,16,14,19,30,11.9
2.0,6,20,11,10,21,21,20,20,13,13,22,32,13.8
1.0,6,21,11,11,22,22,21,19,13,12,21,32,14.2
2.0,7,21,11,11,20,22,23,18,12,11,22,30,12.0
2.0,6,20,13,11,21,22,24,15,14,12,24,44,26.3
1.0,4,20,11,10,20,20,21,18,10,12,19,37,18.0
2.0,12,21,14,14,26,29,31,17,31,17,33,55,46.7
2.0,5,19,11,11,22,22,22,15,15,12,24,44,27.0
2.0,13,23,14,12,24,20,31,21,17,18,34,57,47.3
2.0,14,21,14,13,23,24,26,21,12,18,33,57,47.1
1.0,11,21,13,11,21,24,25,19,10,14,50,52,36.8
2.0,12,21,12,11,24,20,28,20,10,16,13,53,40.4
2.0,9,20,12,11,21,24,25,17,16,16,27,48,31.6
2.0,5,21,10,10,21,22,24,12,11,12,23,32,13.7
2.0,12,24,14,11,23,25,28,22,18,15,34,58,47.6
1.0,7,20,12,11,22,24,26,16,13,14,26,46,29.5
1.0,6,20,12,11,22,24,24,16,15,14,27,45,28.0
2.0,13,23,15,12,24,27,30,27,21,20,37,59,50.7
2.0,11,20,12,11,23,24,26,17,15,14,29,49,33.9
2.0,11,20,12,11,22,25,27,19,15,17,33,51,36.0
1.0,4,20,11,11,22,22,22,16,12,12,22,39,21.3
2.0,11,21,13,14,23,22,11,12,21,17,22,39,22.2
2.0,13,23,12,11,22,21,26,20,16,17,13,53,38.9
2.0,15,5,13,23,22,11,16,16,14,18,50,52,44.0
2.0,13,23,15,12,24,27,30,12,15,4,29,49,35.1
2.0,11,20,12,11,22,25,29,19,18,12,24,44,26.9
2.0,9,20,10,12,21,20,13,20,14,14,24,45,28.3
2.0,8,16,11,13,20,21,14,19,12,14,24,44,26.7
2.0,9,20,12,13,19,13,14,21,12,15,26,46,28.3
2.0,9,20,11,13,22,12,14,22,13,14,26,48,32.8
2.0,8,19,10,12,20,12,12,20,13,13,24,45,27.4
1.0,4,19,10,12,21,11,11,17,11,11,21,38,19.9
1.0,4,20,9,11,19,10,10,18,13,10,18,38,19.0
1.0,4,20,9,13,19,10,11,19,11,11,21,37,18.5
2.0,3,19,9,10,18,10,11,16,10,11,20,36,16.4
2.0,3,20,10,10,18,9,11,16,11,10,18,38,18.2
2.0,3,19,10,11,19,9,11,17,11,11,20,38,18.8
2.0,3,19,10,12,20,10,11,17,11,11,21,39,20.5
1.0,3,20,8,11,20,9,10,15,10,10,17,36,17.4
2.0,4,20,9,10,19,10,10,17,12,12,22,38,18.6
2.0,4,20,9,12,19,9,11,17,12,11,21,37,18.1
2.0,13,21,11,14,23,13,15,24,15,19,29,54,43.0
2.0,14,21,14,15,25,12,16,27,14,16,30,53,43.1
2.0,16,22,13,15,24,12,14,27,16,19,34,54,44.1
2.0,15,20,13,15,24,13,13,24,15,16,24,54,44.6
1.0,17,21,13,16,27,14,17,26,15,19,34,55,48.6
2.0,10,22,11,14,21,10,11,22,13,14,27,44,27.4
2.0,15,21,13,14,24,13,14,25,14,16,32,53,41.8
2.0,17,21,13,14,24,13,14,25,14,17,33,53,42.2
2.0,16,21,13,15,26,13,16,25,16,16,30,52,42.6
2.0,18,20,13,18,25,15,17,29,21,21,38,58,53.9
2.0,19,19,13,21,29,16,18,29,19,19,35,58,59.3
1.0,6,20,11,12,20,9,13,21,13,11,23,44,26.2
1.0,6,18,11,13,19,9,12,20,12,12,23,44,26.2
1.0,7,20,11,14,22,10,13,21,13,12,25,44,28.1
1.0,5,19,10,10,21,20,9,13,13,11,21,39,20.4
1.0,7,21,14,12,22,23,13,18,16,15,24,48,32.3
1.0,6,20,11,10,22,22,12,17,14,15,23,43,25.1
2.0,6,19,10,11,21,11,10,15,11,15,21,40,21.8
1.0,6,20,11,12,21,11,12,16,13,14,22,43,25.3
2.0,8,20,13,11,23,13,13,17,15,15,23,44,27.3
2.0,6,20,11,10,20,11,10,16,13,14,21,41,22.1
2.0,6,21,11,10,22,12,11,16,14,15,24,44,26.6
2.0,7,21,14,12,23,13,12,17,15,16,27,48,33.1
2.0,6,20,13,12,21,13,12,17,14,13,21,48,31.9
2.0,7,20,12,13,22,13,12,18,15,15,24,48,32.9
2.0,6,20,11,12,20,11,11,15,12,15,21,40,21.7
1.0,7,21,10,13,21,12,12,16,13,16,24,45,28.3
2.0,6,21,11,11,19,12,11,13,13,12,20,38,19.1
2.0,7,20,11,12,23,13,13,16,14,14,22,43,26.6
2.0,7,21,12,12,20,12,12,17,13,15,21,45,27.6
1.0,7,20,10,13,23,12,13,17,13,16,23,45,29.4
1.0,6,20,11,11,20,13,11,15,13,13,20,39,20.3
2.0,5,20,12,12,20,12,11,15,13,13,19,39,20.8
2.0,5,19,11,12,23,13,12,15,13,14,22,40,22.8
1.0,5,20,10,11,21,11,11,15,12,12,20,39,20.8
1.0,6,21,12,11,20,12,11,15,12,14,22,41,22.5
1.0,7,21,14,13,23,13,12,18,14,15,25,47,32.0
1.0,11,20,11,12,23,13,12,19,17,17,26,50,36.1
1.0,5,20,12,10,21,11,11,14,13,11,19,38,19.4
1.0,4,20,12,13,23,13,12,14,13,12,19,38,20.9
1.0,5,20,11,10,10,11,10,13,10,13,22,41,17.7
2.0,6,20,11,11,20,11,11,14,14,13,23,40,21.3
2.0,7,21,11,12,22,13,11,16,14,14,25,44,27.2
2.0,8,23,13,10,23,11,13,17,14,16,27,49,33.2
2.0,10,22,12,13,24,12,15,17,14,16,26,51,38.4
2.0,10,22,11,12,22,11,14,16,15,14,23,48,32.5
2.0,10,22,12,13,23,11,14,16,18,14,24,47,31.9
2.0,11,22,14,13,24,12,14,19,18,14,25,52,40.2
2.0,11,20,11,13,24,12,12,17,15,14,27,49,35.7
2.0,13,22,12,12,24,12,14,19,15,16,30,55,44.1
2.0,11,21,13,13,24,10,14,18,16,11,27,52,40.0
2.0,12,22,13,14,26,12,17,20,18,14,29,53,43.4
2.0,11,22,12,12,21,10,12,18,17,13,26,49,33.3
1.0,13,20,15,13,23,13,16,17,16,14,28,49,35.0
1.0,12,21,13,13,23,12,14,17,14,15,27,52,39.2
1.0,10,21,14,12,23,12,12,18,15,15,25,49,34.3
1.0,13,21,14,14,23,14,13,20,17,17,31,54,43.2
1.0,12,21,15,12,23,12,13,20,19,14,30,52,38.8
1.0,11,20,12,12,23,10,11,19,15,15,26,48,33.1
1.0,9,22,14,12,24,13,12,18,15,16,27,48,33.4
1.0,10,21,14,11,24,10,17,18,17,13,26,54,42.1
1.0,7,20,10,9,22,9,13,13,12,13,23,44,26.0
2.0,8,21,11,11,21,10,13,15,13,11,24,45,27.9
2.0,10,21,10,13,24,10,17,18,11,14,29,50,37.1
1.0,13,21,15,11,22,10,16,19,13,15,30,55,41.8
1.0,12,21,13,12,24,11,15,17,14,15,30,57,47.3
2.0,10,21,13,11,21,11,14,15,12,11,28,52,36.7
2.0,7,21,11,9,20,9,10,13,10,9,24,44,25.1
1.0,5,20,10,9,20,8,10,13,11,9,20,39,19.8
1.0,5,20,10,9,20,8,10,13,11,10,20,39,19.7
2.0,4,19,11,9,20,8,13,11,10,10,19,37,17.8
2.0,8,21,13,13,23,13,13,10,12,13,25,45,29.4
2.0,8,20,14,12,22,11,10,10,12,14,23,43,26.0
2.0,10,21,13,13,23,12,11,20,13,15,24,44,28.1
2.0,8,20,12,11,22,11,10,18,12,14,23,43,25.7
2.0,8,21,13,11,22,11,11,16,12,14,23,43,25.7
2.0,7,20,11,11,20,10,10,14,10,11,21,40,21.4
2.0,7,20,13,11,23,11,11,16,12,14,23,45,28.6
2.0,9,20,14,13,24,12,12,17,14,13,23,45,29.8
2.0,11,21,11,13,21,10,10,17,12,15,25,49,33.7
2.0,10,20,13,12,21,12,12,16,13,13,24,46,29.1
2.0,11,22,11,14,23,12,12,18,17,12,26,49,35.4
2.0,13,21,12,13,24,12,11,18,16,16,27,50,36.7
1.0,12,20,11,12,23,11,12,18,15,14,25,50,35.6
1.0,12,19,13,12,23,12,12,18,15,16,26,51,37.3
1.0,12,21,14,13,22,12,12,17,16,14,27,50,35.8
1.0,12,19,10,14,23,12,12,18,17,13,25,51,38.3
1.0,11,20,11,12,23,11,11,17,15,13,29,47,31.6
1.0,14,20,11,13,24,10,11,18,16,12,20,49,35.6
1.0,8,19,11,11,22,9,11,15,13,16,17,44,27.1
1.0,5,20,10,11,22,8,8,13,18,13,19,36,18.1
2.0,7,21,10,8,20,11,10,14,10,10,23,40,20.4
2.0,7,21,14,12,21,13,12,15,11,11,27,43,25.8
2.0,7,21,14,12,23,13,12,17,15,14,26,48,33.0
1.0,11,20,12,13,23,13,11,19,17,16,25,50,36.1
1.0,7,21,11,12,23,11,12,18,14,17,21,47,31.6
2.0,6,20,11,12,20,12,11,15,12,15,20,40,21.8
1.0,7,19,10,13,21,12,12,16,13,14,25,38,20.2
1.0,8,22,10,11,20,20,12,17,14,12,21,47,29.6
1.0,5,19,10,10,21,12,9,13,13,11,21,39,20.5
1.0,8,20,12,11,23,13,13,17,15,13,21,41,23.6
2.0,6,20,13,11,21,22,24,15,14,12,24,44,26.6
2.0,4,20,11,11,22,22,22,16,12,12,22,39,21.0
1.0,12,20,13,12,23,26,27,19,16,20,25,49,34.5
1.0,15,20,17,15,23,17,24,24,20,19,23,57,48.3
1.0,13,20,12,15,22,24,25,17,17,20,32,50,36.5
1.0,12,21,14,12,26,11,14,20,17,14,29,50,37.7
1.0,11,20,13,11,22,12,14,18,19,13,25,49,33.6
1.0,13,19,16,14,22,13,28,18,21,12,34,52,38.8
2.0,7,20,12,11,23,23,23,20,17,15,24,43,26.3
2.0,5,20,11,10,21,21,23,19,13,13,21,39,20.5
2.0,7,20,11,9,19,21,21,19,13,13,21,39,19.3
1.0,5,21,12,9,10,21,21,19,13,13,23,41,17.6
2.0,7,21,11,11,20,22,21,19,12,12,21,31,12.7
2.0,6,20,11,10,21,21,20,20,15,13,22,32,13.8
2.0,7,20,11,10,20,21,20,18,17,15,15,31,12.7
2.0,5,21,12,12,21,21,26,21,13,20,20,40,22.2
2.0,5,20,11,11,21,21,23,20,12,20,21,34,15.8
2.0,6,21,13,11,20,22,24,17,12,21,22,39,20.5
1.0,17,21,11,14,26,25,18,21,19,19,34,59,54.0
2.0,5,21,15,11,22,23,23,17,15,13,22,43,25.6
1.0,13,21,8,12,22,14,29,27,22,16,25,23,7.4
2.0,2,18,15,8,20,19,20,14,13,11,18,32,13.1
1.0,10,20,12,12,22,14,29,27,22,16,25,23,7.4
2.0,10,21,12,12,22,24,26,21,15,14,25,45,28.5
2.0,13,22,6,14,25,18,30,21,20,16,33,59,52.6
1.0,10,21,11,12,22,2,26,21,15,14,25,45,28.4
1.0,4,20,17,11,22,22,22,17,12,12,22,40,22.1
1.0,13,20,15,14,25,18,30,21,20,16,33,59,52.9
2.0,4,20,15,10,20,20,21,18,10,12,19,37,18.0
