distance_moved_meters,time_elapsed_seconds,velocity_mps,direction_change_degrees,zone_dwell_time_seconds,intent_class
0.4,10.0,0.04,67.4,264.2,Browsing
6.1,10.0,0.61,14.0,14.7,Transiting
3.2,10.0,0.32,86.7,113.1,Browsing
0.2,10.0,0.02,151.2,160.5,Browsing
3.0,10.0,0.3,61.1,135.7,Browsing
8.6,10.0,0.86,8.8,24.0,Transiting
1.4,10.0,0.14,118.6,125.0,Browsing
6.6,10.0,0.66,10.4,12.8,Transiting
13.5,10.0,1.35,14.7,14.4,Transiting
0.1,10.0,0.01,161.5,187.7,Browsing
4.4,10.0,0.44,81.1,260.1,Browsing
15.7,10.0,1.57,10.9,30.0,Transiting
14.2,10.0,1.42,8.2,15.7,Transiting
11.6,10.0,1.16,14.0,30.5,Transiting
2.8,10.0,0.28,56.7,62.5,Browsing
14.3,10.0,1.43,1.6,32.0,Transiting
3.2,10.0,0.32,86.5,246.8,Browsing
9.0,10.0,0.9,10.1,22.1,Transiting
10.4,10.0,1.04,9.0,20.7,Transiting
3.8,10.0,0.38,123.5,116.6,Browsing
6.3,10.0,0.63,9.1,28.6,Transiting
2.9,10.0,0.29,71.2,247.3,Browsing
0.6,10.0,0.06,168.6,188.7,Browsing
16.2,10.0,1.62,4.2,25.8,Transiting
9.3,10.0,0.93,3.5,27.0,Transiting
1.0,10.0,0.1,81.5,219.6,Browsing
2.3,10.0,0.23,95.5,93.9,Browsing
3.6,10.0,0.36,87.8,277.8,Browsing
9.2,10.0,0.92,11.1,13.4,Transiting
2.2,10.0,0.22,83.8,100.1,Browsing
3.5,10.0,0.35,89.8,135.8,Browsing
15.5,10.0,1.55,12.2,15.8,Transiting
10.1,10.0,1.01,2.1,24.9,Transiting
1.8,10.0,0.18,130.2,53.3,Browsing
1.9,10.0,0.19,154.0,212.8,Browsing
17.7,10.0,1.77,11.9,33.3,Transiting
3.4,10.0,0.34,176.6,70.2,Browsing
0.5,10.0,0.05,117.2,262.9,Browsing
9.1,10.0,0.91,10.2,27.3,Transiting
0.4,10.0,0.04,141.4,282.6,Browsing
12.3,10.0,1.23,6.2,14.0,Transiting
3.6,10.0,0.36,80.4,219.7,Browsing
12.8,10.0,1.28,3.7,19.0,Transiting
0.1,10.0,0.01,94.9,47.8,Browsing
9.9,10.0,0.99,11.4,20.2,Transiting
0.9,10.0,0.09,140.6,59.6,Browsing
12.4,10.0,1.24,14.9,14.0,Transiting
16.7,10.0,1.67,10.2,19.2,Transiting
16.3,10.0,1.63,12.4,13.9,Transiting
0.8,10.0,0.08,47.4,195.9,Browsing
3.7,10.0,0.37,135.8,136.6,Browsing
6.8,10.0,0.68,14.3,23.1,Transiting
1.6,10.0,0.16,176.9,231.1,Browsing
8.6,10.0,0.86,5.3,19.0,Transiting
1.7,10.0,0.17,173.6,91.2,Browsing
3.1,10.0,0.31,31.6,190.5,Browsing
17.7,10.0,1.77,2.0,30.3,Transiting
2.0,10.0,0.2,61.8,202.7,Browsing
1.1,10.0,0.11,110.2,85.7,Browsing
12.2,10.0,1.22,5.1,10.9,Transiting
8.3,10.0,0.83,9.9,19.3,Transiting
11.5,10.0,1.15,2.9,18.9,Transiting
2.3,10.0,0.23,56.9,156.2,Browsing
3.8,10.0,0.38,31.4,298.4,Browsing
14.1,10.0,1.41,3.7,20.5,Transiting
16.4,10.0,1.64,0.6,11.0,Transiting
12.4,10.0,1.24,6.5,19.5,Transiting
11.0,10.0,1.1,13.5,25.0,Transiting
17.1,10.0,1.71,6.1,25.7,Transiting
9.8,10.0,0.98,7.6,24.1,Transiting
7.2,10.0,0.72,9.7,34.9,Transiting
0.9,10.0,0.09,35.2,292.4,Browsing
2.8,10.0,0.28,81.5,71.8,Browsing
9.1,10.0,0.91,12.7,25.2,Transiting
10.5,10.0,1.05,5.0,15.4,Transiting
13.6,10.0,1.36,1.3,27.8,Transiting
1.9,10.0,0.19,160.1,191.3,Browsing
0.6,10.0,0.06,84.0,69.0,Browsing
3.8,10.0,0.38,132.5,167.3,Browsing
1.8,10.0,0.18,56.4,151.3,Browsing
13.4,10.0,1.34,2.0,14.8,Transiting
1.1,10.0,0.11,70.6,269.3,Browsing
7.2,10.0,0.72,5.1,33.0,Transiting
9.6,10.0,0.96,1.1,16.0,Transiting
2.6,10.0,0.26,156.6,180.6,Browsing
0.6,10.0,0.06,124.5,250.6,Browsing
7.2,10.0,0.72,2.3,30.0,Transiting
1.4,10.0,0.14,84.6,79.9,Browsing
0.6,10.0,0.06,93.4,175.6,Browsing
1.4,10.0,0.14,63.6,213.0,Browsing
12.1,10.0,1.21,14.6,18.0,Transiting
1.8,10.0,0.18,177.0,59.3,Browsing
1.4,10.0,0.14,73.4,108.1,Browsing
10.0,10.0,1.0,0.7,10.2,Transiting
6.8,10.0,0.68,3.9,24.5,Transiting
3.7,10.0,0.37,88.8,248.6,Browsing
10.7,10.0,1.07,13.0,15.3,Transiting
4.1,10.0,0.41,111.5,220.9,Browsing
3.4,10.0,0.34,101.8,199.4,Browsing
1.3,10.0,0.13,109.4,217.5,Browsing
9.0,10.0,0.9,7.5,12.0,Transiting
1.1,10.0,0.11,137.3,60.0,Browsing
3.5,10.0,0.35,78.8,249.4,Browsing
2.1,10.0,0.21,137.0,209.4,Browsing
17.4,10.0,1.74,13.2,10.0,Transiting
3.6,10.0,0.36,108.5,202.3,Browsing
1.8,10.0,0.18,56.4,138.4,Browsing
3.5,10.0,0.35,131.1,45.3,Browsing
17.1,10.0,1.71,6.7,18.0,Transiting
17.7,10.0,1.77,0.5,24.5,Transiting
2.2,10.0,0.22,83.0,178.6,Browsing
3.4,10.0,0.34,44.7,84.6,Browsing
4.1,10.0,0.41,72.4,195.8,Browsing
0.2,10.0,0.02,47.9,163.8,Browsing
2.5,10.0,0.25,56.3,202.9,Browsing
1.6,10.0,0.16,136.1,194.5,Browsing
3.6,10.0,0.36,140.8,155.6,Browsing
14.5,10.0,1.45,12.5,25.8,Transiting
0.5,10.0,0.05,77.9,168.3,Browsing
17.7,10.0,1.77,14.4,27.3,Transiting
1.8,10.0,0.18,178.1,234.7,Browsing
17.1,10.0,1.71,4.4,15.4,Transiting
2.6,10.0,0.26,137.7,239.3,Browsing
4.5,10.0,0.45,107.4,294.1,Browsing
15.5,10.0,1.55,10.5,10.1,Transiting
3.8,10.0,0.38,76.1,202.9,Browsing
0.0,10.0,0.0,63.8,176.5,Browsing
8.0,10.0,0.8,6.8,25.8,Transiting
9.7,10.0,0.97,1.0,26.8,Transiting
1.4,10.0,0.14,163.1,65.4,Browsing
18.0,10.0,1.8,0.5,16.3,Transiting
3.9,10.0,0.39,98.8,156.8,Browsing
15.6,10.0,1.56,0.5,14.5,Transiting
4.2,10.0,0.42,169.7,185.5,Browsing
0.8,10.0,0.08,48.9,175.1,Browsing
3.5,10.0,0.35,93.7,125.0,Browsing
4.0,10.0,0.4,81.4,255.2,Browsing
0.7,10.0,0.07,93.6,45.0,Browsing
9.2,10.0,0.92,0.7,23.2,Transiting
1.9,10.0,0.19,64.6,204.9,Browsing
0.8,10.0,0.08,42.2,123.9,Browsing
1.8,10.0,0.18,72.4,177.2,Browsing
10.9,10.0,1.09,11.9,12.0,Transiting
11.0,10.0,1.1,12.3,11.6,Transiting
2.9,10.0,0.29,94.7,99.1,Browsing
2.5,10.0,0.25,117.8,131.8,Browsing
11.9,10.0,1.19,0.8,23.3,Transiting
2.4,10.0,0.24,149.2,276.6,Browsing
4.2,10.0,0.42,132.2,111.7,Browsing
8.4,10.0,0.84,10.1,28.9,Transiting
8.8,10.0,0.88,4.7,27.8,Transiting
6.3,10.0,0.63,15.0,10.1,Transiting
16.2,10.0,1.62,5.2,16.8,Transiting
0.4,10.0,0.04,155.3,103.2,Browsing
1.8,10.0,0.18,83.3,155.9,Browsing
0.8,10.0,0.08,168.0,73.1,Browsing
17.5,10.0,1.75,8.6,25.6,Transiting
1.5,10.0,0.15,32.1,150.6,Browsing
12.7,10.0,1.27,13.1,17.2,Transiting
3.0,10.0,0.3,85.2,89.8,Browsing
17.1,10.0,1.71,11.0,33.4,Transiting
2.7,10.0,0.27,61.8,216.6,Browsing
13.3,10.0,1.33,0.6,12.4,Transiting
8.9,10.0,0.89,3.2,31.9,Transiting
2.0,10.0,0.2,171.9,69.1,Browsing
17.8,10.0,1.78,6.5,18.5,Transiting
6.7,10.0,0.67,4.9,21.1,Transiting
15.4,10.0,1.54,8.7,25.4,Transiting
7.0,10.0,0.7,6.8,19.6,Transiting
8.0,10.0,0.8,3.9,31.5,Transiting
7.4,10.0,0.74,7.4,13.2,Transiting
2.8,10.0,0.28,30.0,102.3,Browsing
2.3,10.0,0.23,94.4,208.2,Browsing
7.8,10.0,0.78,9.3,27.2,Transiting
8.4,10.0,0.84,8.5,20.5,Transiting
15.7,10.0,1.57,5.7,12.1,Transiting
3.4,10.0,0.34,65.1,56.6,Browsing
15.5,10.0,1.55,6.8,27.6,Transiting
10.5,10.0,1.05,8.7,21.8,Transiting
2.3,10.0,0.23,93.9,196.0,Browsing
1.7,10.0,0.17,36.7,161.9,Browsing
9.2,10.0,0.92,7.0,34.8,Transiting
7.6,10.0,0.76,8.7,12.8,Transiting
17.2,10.0,1.72,0.4,27.1,Transiting
2.6,10.0,0.26,125.6,211.8,Browsing
8.7,10.0,0.87,11.7,16.9,Transiting
11.0,10.0,1.1,8.6,23.9,Transiting
15.3,10.0,1.53,2.1,27.0,Transiting
1.4,10.0,0.14,165.0,101.4,Browsing
4.1,10.0,0.41,106.8,117.3,Browsing
14.0,10.0,1.4,11.6,16.5,Transiting
4.4,10.0,0.44,32.9,225.9,Browsing
14.8,10.0,1.48,13.2,24.9,Transiting
11.3,10.0,1.13,2.5,19.6,Transiting
1.0,10.0,0.1,57.0,139.7,Browsing
0.7,10.0,0.07,172.5,130.3,Browsing
9.5,10.0,0.95,9.0,23.9,Transiting
12.6,10.0,1.26,6.0,23.0,Transiting
17.7,10.0,1.77,12.9,12.9,Transiting
0.1,10.0,0.01,178.3,224.4,Browsing
1.9,10.0,0.19,140.4,92.9,Browsing
10.6,10.0,1.06,13.6,10.8,Transiting
4.2,10.0,0.42,120.4,158.9,Browsing
2.2,10.0,0.22,133.0,211.1,Browsing
17.8,10.0,1.78,6.5,18.2,Transiting
9.4,10.0,0.94,8.9,17.6,Transiting
2.7,10.0,0.27,173.5,267.3,Browsing
17.5,10.0,1.75,6.6,33.2,Transiting
11.4,10.0,1.14,9.0,29.2,Transiting
10.6,10.0,1.06,9.3,17.5,Transiting
12.9,10.0,1.29,5.6,18.1,Transiting
0.5,10.0,0.05,96.9,45.2,Browsing
0.6,10.0,0.06,70.4,203.2,Browsing
14.9,10.0,1.49,12.7,14.4,Transiting
9.7,10.0,0.97,11.2,18.0,Transiting
0.6,10.0,0.06,149.0,202.8,Browsing
14.4,10.0,1.44,14.9,22.4,Transiting
3.5,10.0,0.35,75.9,292.9,Browsing
3.1,10.0,0.31,109.1,241.8,Browsing
2.6,10.0,0.26,177.5,128.6,Browsing
16.8,10.0,1.68,4.1,30.8,Transiting
15.7,10.0,1.57,3.1,33.2,Transiting
3.9,10.0,0.39,109.4,292.7,Browsing
3.2,10.0,0.32,153.6,264.6,Browsing
2.1,10.0,0.21,77.2,290.9,Browsing
3.4,10.0,0.34,89.8,137.6,Browsing
2.7,10.0,0.27,174.6,110.9,Browsing
2.3,10.0,0.23,122.2,42.1,Browsing
2.2,10.0,0.22,123.8,273.7,Browsing
2.1,10.0,0.21,137.1,115.6,Browsing
3.8,10.0,0.38,146.4,177.2,Browsing
12.2,10.0,1.22,6.7,13.6,Transiting
0.1,10.0,0.01,69.7,279.9,Browsing
7.4,10.0,0.74,6.7,10.7,Transiting
2.4,10.0,0.24,168.5,44.1,Browsing
14.9,10.0,1.49,9.0,21.6,Transiting
2.9,10.0,0.29,158.5,106.6,Browsing
10.6,10.0,1.06,13.7,25.6,Transiting
3.0,10.0,0.3,43.7,245.6,Browsing
0.7,10.0,0.07,146.4,252.0,Browsing
3.6,10.0,0.36,166.4,221.2,Browsing
14.3,10.0,1.43,14.3,22.6,Transiting
17.3,10.0,1.73,4.4,14.2,Transiting
2.6,10.0,0.26,135.7,44.3,Browsing
13.1,10.0,1.31,7.6,16.1,Transiting
3.5,10.0,0.35,93.3,149.1,Browsing
1.2,10.0,0.12,80.0,217.7,Browsing
12.9,10.0,1.29,6.5,30.2,Transiting
0.1,10.0,0.01,142.6,292.4,Browsing
0.1,10.0,0.01,56.5,70.5,Browsing
2.5,10.0,0.25,138.0,62.1,Browsing
3.0,10.0,0.3,130.7,107.9,Browsing
3.2,10.0,0.32,55.4,183.5,Browsing
13.9,10.0,1.39,10.8,21.5,Transiting
6.8,10.0,0.68,10.0,30.8,Transiting
15.4,10.0,1.54,12.6,10.1,Transiting
11.8,10.0,1.18,8.7,11.6,Transiting
8.5,10.0,0.85,7.0,11.2,Transiting
12.4,10.0,1.24,11.4,23.5,Transiting
9.8,10.0,0.98,14.9,28.3,Transiting
13.7,10.0,1.37,14.6,29.7,Transiting
15.9,10.0,1.59,11.1,19.5,Transiting
2.6,10.0,0.26,113.7,289.3,Browsing
2.4,10.0,0.24,51.1,269.4,Browsing
1.4,10.0,0.14,70.4,204.0,Browsing
8.7,10.0,0.87,10.3,21.0,Transiting
0.7,10.0,0.07,48.2,252.6,Browsing
2.2,10.0,0.22,32.2,87.1,Browsing
12.9,10.0,1.29,1.4,10.7,Transiting
2.7,10.0,0.27,86.5,69.7,Browsing
10.6,10.0,1.06,3.3,32.2,Transiting
2.8,10.0,0.28,123.6,67.8,Browsing
0.7,10.0,0.07,133.6,201.4,Browsing
4.3,10.0,0.43,59.3,74.7,Browsing
0.8,10.0,0.08,98.6,147.4,Browsing
2.7,10.0,0.27,83.7,95.1,Browsing
9.8,10.0,0.98,3.8,22.4,Transiting
13.2,10.0,1.32,5.3,29.0,Transiting
7.3,10.0,0.73,3.7,25.9,Transiting
13.3,10.0,1.33,1.5,33.9,Transiting
10.1,10.0,1.01,14.5,28.9,Transiting
16.2,10.0,1.62,1.7,23.8,Transiting
4.5,10.0,0.45,41.9,173.4,Browsing
3.0,10.0,0.3,39.0,127.0,Browsing
11.0,10.0,1.1,4.1,15.5,Transiting
7.2,10.0,0.72,4.8,17.0,Transiting
15.0,10.0,1.5,12.9,24.7,Transiting
1.3,10.0,0.13,117.7,214.7,Browsing
13.8,10.0,1.38,5.3,22.4,Transiting
1.3,10.0,0.13,55.1,164.2,Browsing
8.2,10.0,0.82,12.3,22.7,Transiting
2.0,10.0,0.2,146.4,179.4,Browsing
8.4,10.0,0.84,0.8,16.6,Transiting
6.5,10.0,0.65,11.5,10.2,Transiting
7.5,10.0,0.75,9.0,16.9,Transiting
1.3,10.0,0.13,139.4,288.5,Browsing
2.2,10.0,0.22,145.5,101.6,Browsing
10.6,10.0,1.06,7.3,18.8,Transiting
4.3,10.0,0.43,71.7,193.8,Browsing
17.1,10.0,1.71,3.4,26.0,Transiting
2.3,10.0,0.23,105.7,100.6,Browsing
6.3,10.0,0.63,4.7,30.4,Transiting
2.9,10.0,0.29,62.8,230.5,Browsing
2.5,10.0,0.25,128.1,185.1,Browsing
16.1,10.0,1.61,10.0,25.4,Transiting
4.4,10.0,0.44,156.9,191.0,Browsing
11.0,10.0,1.1,8.7,26.8,Transiting
1.7,10.0,0.17,71.8,101.4,Browsing
2.9,10.0,0.29,33.8,215.8,Browsing
11.1,10.0,1.11,12.3,24.3,Transiting
7.5,10.0,0.75,8.3,27.6,Transiting
1.9,10.0,0.19,142.4,161.3,Browsing
3.7,10.0,0.37,44.6,60.8,Browsing
17.1,10.0,1.71,3.9,13.7,Transiting
2.4,10.0,0.24,139.7,196.3,Browsing
8.7,10.0,0.87,0.4,14.9,Transiting
4.2,10.0,0.42,115.8,93.3,Browsing
3.9,10.0,0.39,74.8,230.9,Browsing
14.7,10.0,1.47,5.4,13.1,Transiting
13.4,10.0,1.34,6.3,14.3,Transiting
4.4,10.0,0.44,96.3,103.5,Browsing
4.1,10.0,0.41,140.2,64.5,Browsing
0.3,10.0,0.03,104.8,230.9,Browsing
13.1,10.0,1.31,2.2,22.6,Transiting
0.3,10.0,0.03,116.4,167.9,Browsing
16.0,10.0,1.6,7.4,17.0,Transiting
4.5,10.0,0.45,138.3,132.9,Browsing
1.8,10.0,0.18,159.9,197.0,Browsing
6.4,10.0,0.64,9.7,33.0,Transiting
3.0,10.0,0.3,155.4,159.8,Browsing
17.8,10.0,1.78,12.2,13.6,Transiting
1.6,10.0,0.16,112.1,257.9,Browsing
16.3,10.0,1.63,12.2,19.2,Transiting
4.0,10.0,0.4,98.8,92.4,Browsing
3.5,10.0,0.35,112.7,181.3,Browsing
2.5,10.0,0.25,92.0,184.4,Browsing
16.5,10.0,1.65,9.8,13.2,Transiting
1.3,10.0,0.13,62.4,163.2,Browsing
8.8,10.0,0.88,0.4,29.1,Transiting
1.3,10.0,0.13,59.7,297.3,Browsing
7.7,10.0,0.77,6.3,16.8,Transiting
0.1,10.0,0.01,66.7,288.3,Browsing
14.0,10.0,1.4,12.4,26.6,Transiting
1.0,10.0,0.1,38.3,82.6,Browsing
2.2,10.0,0.22,67.8,204.2,Browsing
1.6,10.0,0.16,36.2,253.5,Browsing
10.3,10.0,1.03,10.7,34.0,Transiting
1.6,10.0,0.16,143.4,197.3,Browsing
2.6,10.0,0.26,73.1,191.8,Browsing
0.3,10.0,0.03,167.1,246.3,Browsing
2.0,10.0,0.2,85.8,104.1,Browsing
16.5,10.0,1.65,2.4,12.7,Transiting
1.1,10.0,0.11,37.0,293.5,Browsing
12.6,10.0,1.26,8.0,26.0,Transiting
14.8,10.0,1.48,9.1,23.0,Transiting
2.0,10.0,0.2,43.6,53.0,Browsing
7.1,10.0,0.71,3.3,17.4,Transiting
1.0,10.0,0.1,83.0,266.0,Browsing
8.5,10.0,0.85,4.6,21.3,Transiting
1.7,10.0,0.17,37.7,157.5,Browsing
15.7,10.0,1.57,3.3,24.2,Transiting
17.0,10.0,1.7,13.1,30.4,Transiting
10.8,10.0,1.08,5.5,18.3,Transiting
12.0,10.0,1.2,11.6,24.1,Transiting
3.9,10.0,0.39,157.9,265.7,Browsing
13.2,10.0,1.32,9.4,19.1,Transiting
3.7,10.0,0.37,85.1,241.0,Browsing
15.2,10.0,1.52,8.1,34.5,Transiting
2.7,10.0,0.27,119.6,197.0,Browsing
2.2,10.0,0.22,68.8,164.1,Browsing
0.8,10.0,0.08,128.5,175.2,Browsing
3.9,10.0,0.39,166.5,50.3,Browsing
0.8,10.0,0.08,100.4,66.1,Browsing
2.9,10.0,0.29,62.5,276.8,Browsing
2.5,10.0,0.25,117.6,227.9,Browsing
10.1,10.0,1.01,3.4,10.1,Transiting
0.4,10.0,0.04,137.1,110.2,Browsing
3.1,10.0,0.31,39.8,49.6,Browsing
2.2,10.0,0.22,70.8,90.3,Browsing
6.1,10.0,0.61,1.2,31.0,Transiting
2.0,10.0,0.2,119.3,120.1,Browsing
1.3,10.0,0.13,96.2,204.4,Browsing
4.1,10.0,0.41,88.9,90.8,Browsing
2.4,10.0,0.24,38.7,227.8,Browsing
1.7,10.0,0.17,37.8,136.5,Browsing
16.7,10.0,1.67,9.6,31.8,Transiting
16.6,10.0,1.66,13.1,34.6,Transiting
4.2,10.0,0.42,169.8,186.5,Browsing
2.7,10.0,0.27,76.8,40.2,Browsing
1.1,10.0,0.11,83.3,121.0,Browsing
1.4,10.0,0.14,161.1,241.2,Browsing
17.4,10.0,1.74,4.1,10.1,Transiting
10.8,10.0,1.08,13.9,23.0,Transiting
9.7,10.0,0.97,7.5,22.1,Transiting
9.6,10.0,0.96,10.0,18.8,Transiting
1.3,10.0,0.13,49.3,234.2,Browsing
4.5,10.0,0.45,169.4,156.8,Browsing
14.3,10.0,1.43,9.1,10.3,Transiting
9.2,10.0,0.92,11.5,27.5,Transiting
18.0,10.0,1.8,6.9,13.3,Transiting
0.2,10.0,0.02,127.6,277.4,Browsing
2.4,10.0,0.24,76.8,239.2,Browsing
7.6,10.0,0.76,10.0,22.3,Transiting
2.9,10.0,0.29,66.1,179.9,Browsing
3.4,10.0,0.34,87.2,161.9,Browsing
14.6,10.0,1.46,0.5,27.0,Transiting
3.6,10.0,0.36,162.1,249.1,Browsing
14.1,10.0,1.41,7.5,31.7,Transiting
8.8,10.0,0.88,11.7,25.2,Transiting
11.1,10.0,1.11,10.3,30.5,Transiting
11.7,10.0,1.17,8.9,16.4,Transiting
7.5,10.0,0.75,10.3,28.2,Transiting
14.9,10.0,1.49,4.7,31.0,Transiting
2.3,10.0,0.23,137.5,47.8,Browsing
2.6,10.0,0.26,99.2,279.9,Browsing
13.4,10.0,1.34,2.0,18.2,Transiting
13.1,10.0,1.31,14.1,14.3,Transiting
7.4,10.0,0.74,0.9,33.5,Transiting
2.9,10.0,0.29,45.7,103.5,Browsing
4.3,10.0,0.43,128.9,299.4,Browsing
2.2,10.0,0.22,114.6,85.2,Browsing
4.2,10.0,0.42,46.5,160.7,Browsing
0.4,10.0,0.04,176.7,225.7,Browsing
2.7,10.0,0.27,129.2,195.5,Browsing
6.3,10.0,0.63,12.2,29.8,Transiting
4.1,10.0,0.41,130.1,157.1,Browsing
14.2,10.0,1.42,12.1,19.2,Transiting
6.2,10.0,0.62,6.3,25.2,Transiting
6.1,10.0,0.61,12.2,30.0,Transiting
6.7,10.0,0.67,11.9,22.8,Transiting
2.0,10.0,0.2,59.9,285.9,Browsing
17.2,10.0,1.72,5.0,30.1,Transiting
17.8,10.0,1.78,12.7,19.6,Transiting
3.5,10.0,0.35,122.5,64.2,Browsing
12.4,10.0,1.24,11.4,20.4,Transiting
15.2,10.0,1.52,8.7,22.6,Transiting
10.3,10.0,1.03,3.3,28.5,Transiting
3.4,10.0,0.34,132.8,144.4,Browsing
4.1,10.0,0.41,50.3,188.9,Browsing
10.0,10.0,1.0,1.7,18.6,Transiting
9.4,10.0,0.94,1.7,21.6,Transiting
3.5,10.0,0.35,118.6,120.3,Browsing
3.3,10.0,0.33,55.8,71.3,Browsing
8.7,10.0,0.87,8.9,23.6,Transiting
17.8,10.0,1.78,8.8,23.4,Transiting
